feature,importance
return_lag_2,0.04163386102397031
return_lag_5,0.03893502743399453
return_lag_10,0.03837135432631515
return_lag_3,0.03711255581191189
stoch_d,0.03656026406211051
return_lag_1,0.035366257551598376
momentum_5,0.03525737809078421
momentum_10,0.03513669693374114
close_high_ratio,0.03487896482338406
close_open_ratio,0.033965293190395596
high_low_ratio,0.033901891569566876
macd_diff,0.03376926965777745
volatility_10,0.03328140658076168
close_low_ratio,0.03227695606725548
stoch_k,0.032169819284373895
volatility_20,0.031215622557789858
momentum_20,0.029343189660996864
volatility_5,0.02928429872735987
macd,0.028609720875151387
rsi,0.02830020736553867
macd_signal,0.0278536796740433
sma_200,0.027237807985999098
bb_width,0.026749116931573665
ema_200,0.026537106619745652
bb_low,0.02376634949703741
bb_high,0.023434834671853196
sma_50,0.02187702009986265
Adj Close,0.021777311737958212
sma_20,0.020267111769394077
sma_10,0.020251244730004562
ema_10,0.020013554297495236
ema_50,0.01992318989178958
ema_20,0.01960783061980307
month,0.01173177521778044
day_of_week,0.009602030660882024
